,state,begin,end,poll_time,poll_date,week,day_of_week,pollster,mode,population,observations,clinton,trump,both,other,p_clinton,n_clinton,n_respondents
2,west virginia,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,422.0,34.0,58.0,92.0,0.0,0.3695652173913043,143.0,388.0
3,west virginia,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,321.0,27.0,58.0,85.0,12.0,0.3176470588235294,87.0,273.0
4,west virginia,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,311.0,36.0,59.0,95.0,5.0,0.37894736842105264,112.0,295.0
5,west virginia,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,379.0,29.0,61.0,90.0,9.0,0.32222222222222224,110.0,341.0
6,west virginia,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,310.0,36.0,58.0,94.0,6.0,0.3829787234042553,112.0,291.0
7,west virginia,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,360.0,41.0,54.0,95.0,0.0,0.43157894736842106,148.0,342.0
8,west virginia,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,480.0,34.0,61.0,95.0,5.0,0.35789473684210527,163.0,456.0
9,west virginia,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,301.0,35.0,52.0,87.0,0.0,0.40229885057471265,105.0,262.0
10,west virginia,2016-09-13,2016-09-17,4,2016-09-15,37,2,Garin-Hart-Yang (D-Reynolds),Live Phone,,500.0,28.0,60.0,88.0,0.0,0.3181818181818182,140.0,440.0
11,west virginia,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,698.0,33.0,57.0,90.0,0.0,0.36666666666666664,230.0,628.0
12,west virginia,2016-08-09,2016-08-28,19,2016-08-18,33,2,R.L. Repass & Partners/MetroNews,Mixed,,435.0,31.0,49.0,80.0,14.0,0.3875,135.0,348.0
13,west virginia,2016-04-29,2016-05-01,2,2016-04-30,17,4,PPP (D),IVR/Online,,1201.0,30.0,57.0,87.0,0.0,0.3448275862068966,360.0,1045.0
0,nebraska,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,988.0,35.0,52.0,87.0,10.0,0.40229885057471265,346.0,860.0
1,nebraska,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,340.0,38.0,56.0,94.0,6.0,0.40425531914893614,129.0,320.0
2,nebraska,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,350.0,32.0,53.0,85.0,0.0,0.3764705882352941,112.0,298.0
3,nebraska,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,412.0,32.0,52.0,84.0,13.0,0.38095238095238093,132.0,346.0
4,nebraska,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,334.0,38.0,58.0,96.0,4.0,0.3958333333333333,127.0,321.0
5,nebraska,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,461.0,33.0,52.0,85.0,14.0,0.38823529411764707,152.0,392.0
6,nebraska,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,333.0,39.0,57.0,96.0,4.0,0.40625,130.0,320.0
7,nebraska,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,386.0,33.0,49.0,82.0,0.0,0.4024390243902439,127.0,317.0
8,nebraska,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,541.0,37.0,59.0,96.0,4.0,0.3854166666666667,200.0,519.0
9,nebraska,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,277.0,31.0,54.0,85.0,0.0,0.36470588235294116,86.0,235.0
10,nebraska,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,983.0,38.0,49.0,87.0,0.0,0.4367816091954023,374.0,855.0
0,montana,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,449.0,30.0,52.0,82.0,15.0,0.36585365853658536,135.0,368.0
1,montana,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,339.0,41.0,54.0,95.0,6.0,0.43157894736842106,139.0,322.0
2,montana,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,405.0,36.0,49.0,85.0,12.0,0.4235294117647059,146.0,344.0
3,montana,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,340.0,41.0,55.0,96.0,5.0,0.4270833333333333,139.0,326.0
4,montana,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,475.0,35.0,52.0,87.0,9.0,0.40229885057471265,166.0,413.0
5,montana,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,329.0,41.0,55.0,96.0,5.0,0.4270833333333333,135.0,316.0
6,montana,2016-10-03,2016-10-10,7,2016-10-06,40,2,MSU-Billings,Live Phone,,590.0,27.0,43.0,70.0,9.0,0.38571428571428573,159.0,413.0
7,montana,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,647.0,39.0,57.0,96.0,4.0,0.40625,252.0,621.0
8,montana,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,999.0,38.0,51.0,89.0,0.0,0.42696629213483145,380.0,889.0
0,washington,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,1451.0,51.0,33.0,84.0,13.0,0.6071428571428571,740.0,1219.0
1,washington,2016-11-04,2016-11-06,2,2016-11-05,44,4,Insights West,Internet,,402.0,51.0,36.0,87.0,6.0,0.5862068965517241,205.0,350.0
2,washington,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,328.0,56.0,39.0,95.0,6.0,0.5894736842105263,184.0,312.0
3,washington,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,863.0,47.0,38.0,85.0,0.0,0.5529411764705883,406.0,734.0
4,washington,2016-10-31,2016-11-02,2,2016-11-01,44,0,SurveyUSA,IVR/Online,,681.0,50.0,38.0,88.0,9.0,0.5681818181818182,340.0,599.0
5,washington,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,745.0,53.0,34.0,87.0,11.0,0.6091954022988506,395.0,648.0
6,washington,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,327.0,53.0,43.0,96.0,4.0,0.5520833333333334,173.0,314.0
7,washington,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,687.0,51.0,34.0,85.0,12.0,0.6,350.0,584.0
8,washington,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,320.0,54.0,42.0,96.0,4.0,0.5625,173.0,307.0
9,washington,2016-10-06,2016-10-13,7,2016-10-09,40,5,KCTS 9/Crosscut/Washington,Internet,,750.0,53.0,39.0,92.0,0.0,0.5760869565217391,398.0,690.0
10,washington,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,905.0,47.0,37.0,84.0,0.0,0.5595238095238095,425.0,760.0
11,washington,2016-09-29,2016-10-03,4,2016-10-01,39,4,Strategies 360 (D- KOMO News),Live Phone,,500.0,50.0,33.0,83.0,10.0,0.6024096385542169,250.0,415.0
12,washington,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,496.0,52.0,44.0,96.0,5.0,0.5416666666666666,258.0,476.0
13,washington,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,705.0,49.0,35.0,84.0,0.0,0.5833333333333334,345.0,592.0
14,washington,2016-09-12,2016-09-14,2,2016-09-13,37,0,Insights West,Internet,,505.0,38.0,28.0,66.0,20.0,0.5757575757575758,192.0,333.0
15,washington,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,722.0,53.0,37.0,90.0,0.0,0.5888888888888889,383.0,650.0
16,washington,2016-08-09,2016-08-13,4,2016-08-11,32,2,Elway,Live Phone,,500.0,43.0,24.0,67.0,11.0,0.6417910447761194,215.0,335.0
17,washington,2016-06-14,2016-06-15,1,2016-06-14,24,0,PPP (D-Northwest Progressive Institute),Automated Phone,,679.0,49.0,37.0,86.0,0.0,0.5697674418604651,333.0,584.0
0,mississippi,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,719.0,42.0,50.0,92.0,6.0,0.45652173913043476,302.0,661.0
1,mississippi,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,330.0,42.0,54.0,96.0,4.0,0.4375,139.0,317.0
2,mississippi,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,388.0,36.0,53.0,89.0,0.0,0.4044943820224719,140.0,345.0
3,mississippi,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,648.0,41.0,48.0,89.0,9.0,0.4606741573033708,266.0,577.0
4,mississippi,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,313.0,42.0,55.0,97.0,4.0,0.4329896907216495,131.0,304.0
5,mississippi,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,704.0,42.0,50.0,92.0,6.0,0.45652173913043476,296.0,648.0
6,mississippi,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,322.0,42.0,54.0,96.0,4.0,0.4375,135.0,309.0
7,mississippi,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,404.0,41.0,49.0,90.0,0.0,0.45555555555555555,166.0,364.0
8,mississippi,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,528.0,40.0,57.0,97.0,4.0,0.41237113402061853,211.0,512.0
9,mississippi,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,365.0,38.0,50.0,88.0,0.0,0.4318181818181818,139.0,321.0
10,mississippi,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,823.0,46.0,48.0,94.0,0.0,0.48936170212765956,379.0,774.0
0,vermont,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,454.0,61.0,25.0,86.0,12.0,0.7093023255813954,277.0,390.0
1,vermont,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,305.0,62.0,33.0,95.0,0.0,0.6526315789473685,189.0,290.0
2,vermont,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,436.0,53.0,25.0,78.0,18.0,0.6794871794871795,231.0,340.0
3,vermont,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,304.0,63.0,34.0,97.0,0.0,0.6494845360824743,192.0,295.0
4,vermont,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,446.0,54.0,23.0,77.0,20.0,0.7012987012987013,241.0,343.0
5,vermont,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,304.0,63.0,33.0,96.0,4.0,0.65625,192.0,292.0
6,vermont,2016-09-29,2016-10-14,15,2016-10-06,40,2,Castleton University/VPR,Live Phone,,579.0,45.0,17.0,62.0,24.0,0.7258064516129032,261.0,359.0
7,vermont,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,464.0,61.0,35.0,96.0,4.0,0.6354166666666666,283.0,445.0
8,vermont,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,550.0,56.0,28.0,84.0,0.0,0.6666666666666666,308.0,462.0
9,vermont,2016-07-11,2016-07-23,12,2016-07-17,28,5,Castleton University/VPR,Live Phone,,637.0,39.0,17.0,56.0,31.0,0.6964285714285714,248.0,357.0
0,massachusetts,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,1378.0,56.0,30.0,86.0,10.0,0.6511627906976745,772.0,1185.0
1,massachusetts,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,330.0,59.0,37.0,96.0,4.0,0.6145833333333334,195.0,317.0
2,massachusetts,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,512.0,53.0,36.0,89.0,0.0,0.5955056179775281,271.0,456.0
3,massachusetts,2016-10-23,2016-11-02,10,2016-10-28,43,3,WNEU,Live Phone,,417.0,56.0,26.0,82.0,11.0,0.6829268292682927,234.0,342.0
4,massachusetts,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,796.0,58.0,29.0,87.0,11.0,0.6666666666666666,462.0,693.0
5,massachusetts,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,325.0,58.0,39.0,97.0,3.0,0.5979381443298969,188.0,315.0
6,massachusetts,2016-10-24,2016-10-26,2,2016-10-25,43,0,Suffolk/Boston Globe,Live Phone,,500.0,57.0,25.0,82.0,7.0,0.6951219512195121,285.0,410.0
7,massachusetts,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,675.0,61.0,28.0,89.0,9.0,0.6853932584269663,412.0,601.0
8,massachusetts,2016-10-13,2016-10-16,3,2016-10-14,41,3,MassINC/WBUR,Live Phone,,502.0,54.0,28.0,82.0,12.0,0.6585365853658537,271.0,412.0
9,massachusetts,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,329.0,58.0,39.0,97.0,3.0,0.5979381443298969,191.0,319.0
10,massachusetts,2016-09-16,2016-10-06,20,2016-09-26,38,6,Ipsos/Reuters,Internet,,904.0,49.0,30.0,79.0,0.0,0.620253164556962,443.0,714.0
11,massachusetts,2016-09-24,2016-10-03,9,2016-09-28,39,1,WNEU,Live Phone,,403.0,58.0,26.0,84.0,11.0,0.6904761904761905,234.0,339.0
12,massachusetts,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,507.0,56.0,41.0,97.0,3.0,0.5773195876288659,284.0,492.0
13,massachusetts,2016-09-15,2016-09-20,5,2016-09-17,37,4,UMass Amherst/WBZ-TV/YouGov,Internet,,700.0,47.0,34.0,81.0,15.0,0.5802469135802469,329.0,567.0
14,massachusetts,2016-08-26,2016-09-15,20,2016-09-05,35,6,Ipsos/Reuters,Internet,,691.0,53.0,31.0,84.0,0.0,0.6309523809523809,366.0,580.0
15,massachusetts,2016-09-07,2016-09-10,3,2016-09-08,36,2,MassINC/WBUR,Live Phone,,506.0,54.0,28.0,82.0,16.0,0.6585365853658537,273.0,415.0
16,massachusetts,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,1167.0,56.0,33.0,89.0,0.0,0.6292134831460674,654.0,1039.0
17,massachusetts,2016-05-02,2016-05-05,3,2016-05-03,18,0,Suffolk/Boston Globe,Live Phone,,500.0,55.0,31.0,86.0,0.0,0.6395348837209303,275.0,430.0
18,massachusetts,2016-04-01,2016-04-10,9,2016-04-05,14,0,WNEU,Live Phone,,497.0,62.0,26.0,88.0,0.0,0.7045454545454546,308.0,437.0
0,tennessee,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,1433.0,41.0,49.0,90.0,8.0,0.45555555555555555,588.0,1290.0
1,tennessee,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,339.0,39.0,55.0,94.0,6.0,0.4148936170212766,132.0,319.0
2,tennessee,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,823.0,36.0,50.0,86.0,0.0,0.4186046511627907,296.0,708.0
3,tennessee,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,550.0,38.0,51.0,89.0,8.0,0.42696629213483145,209.0,490.0
4,tennessee,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,339.0,38.0,57.0,95.0,5.0,0.4,129.0,322.0
5,tennessee,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,572.0,38.0,49.0,87.0,9.0,0.4367816091954023,217.0,498.0
6,tennessee,2016-10-14,2016-10-17,3,2016-10-15,41,4,ICITIZEN,Internet,,508.0,34.0,44.0,78.0,14.0,0.4358974358974359,173.0,396.0
7,tennessee,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,328.0,39.0,56.0,95.0,5.0,0.4105263157894737,128.0,312.0
8,tennessee,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,799.0,35.0,47.0,82.0,0.0,0.4268292682926829,280.0,655.0
9,tennessee,2016-09-28,2016-10-02,4,2016-09-30,39,3,MTSU,Live Phone,,472.0,36.0,48.0,84.0,7.0,0.42857142857142855,170.0,396.0
10,tennessee,2016-09-19,2016-10-02,13,2016-09-25,38,5,Vanderbit/PSRA,Live Phone,,1000.0,33.0,44.0,77.0,9.0,0.42857142857142855,330.0,770.0
11,tennessee,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,555.0,38.0,57.0,95.0,5.0,0.4,211.0,527.0
12,tennessee,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,651.0,33.0,47.0,80.0,0.0,0.4125,215.0,521.0
13,tennessee,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,1021.0,37.0,55.0,92.0,0.0,0.40217391304347827,378.0,939.0
14,tennessee,2016-07-25,2016-07-27,2,2016-07-26,30,0,ICITIZEN,Internet,,531.0,33.0,49.0,82.0,0.0,0.4024390243902439,175.0,435.0
15,tennessee,2016-04-25,2016-05-11,16,2016-05-03,18,0,Vanderbit/PSRA,Live Phone,,1001.0,35.0,44.0,79.0,2.0,0.4430379746835443,350.0,791.0
0,louisiana,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,982.0,38.0,52.0,90.0,6.0,0.4222222222222222,373.0,884.0
1,louisiana,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,329.0,40.0,55.0,95.0,5.0,0.42105263157894735,132.0,313.0
2,louisiana,2016-10-17,2016-11-06,20,2016-10-27,43,2,Ipsos/Reuters,Internet,,633.0,36.0,52.0,88.0,0.0,0.4090909090909091,228.0,557.0
3,louisiana,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,423.0,38.0,51.0,89.0,7.0,0.42696629213483145,161.0,376.0
4,louisiana,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,316.0,40.0,56.0,96.0,4.0,0.4166666666666667,126.0,303.0
5,louisiana,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,388.0,38.0,53.0,91.0,7.0,0.4175824175824176,147.0,353.0
6,louisiana,2016-10-19,2016-10-21,2,2016-10-20,42,2,Southern Media/Opinion Research,Live Phone,,500.0,35.0,50.0,85.0,7.0,0.4117647058823529,175.0,425.0
7,louisiana,2016-10-15,2016-10-21,6,2016-10-18,42,0,Lucid/The Times-Picayune,Internet,,614.0,40.0,43.0,83.0,10.0,0.4819277108433735,246.0,510.0
8,louisiana,2016-10-15,2016-10-21,6,2016-10-18,42,0,University of New Orleans ,Live Phone,,603.0,35.0,49.0,84.0,10.0,0.4166666666666667,211.0,507.0
9,louisiana,2016-10-17,2016-10-19,2,2016-10-18,42,0,Mason-Dixon/FOX 8/Raycom,Live Phone,,625.0,34.0,54.0,88.0,3.0,0.38636363636363635,212.0,550.0
10,louisiana,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,314.0,41.0,55.0,96.0,5.0,0.4270833333333333,129.0,301.0
11,louisiana,2016-10-11,2016-10-15,4,2016-10-13,41,2,JMC Analytics (R-Fleming),IVR/Live Phone,,800.0,38.0,45.0,83.0,5.0,0.4578313253012048,304.0,664.0
12,louisiana,2016-09-23,2016-10-13,20,2016-10-03,39,6,Ipsos/Reuters,Internet,,644.0,36.0,49.0,85.0,0.0,0.4235294117647059,232.0,547.0
13,louisiana,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,531.0,39.0,57.0,96.0,4.0,0.40625,207.0,510.0
14,louisiana,2016-09-22,2016-09-24,2,2016-09-23,38,3,JMC Analytics (R),IVR/Live Phone,,905.0,35.0,45.0,80.0,8.0,0.4375,317.0,724.0
15,louisiana,2016-09-02,2016-09-22,20,2016-09-12,36,6,Ipsos/Reuters,Internet,,506.0,36.0,52.0,88.0,0.0,0.4090909090909091,182.0,445.0
16,louisiana,2016-09-15,2016-09-17,2,2016-09-16,37,3,Southern Media/Opinion Research,Live Phone,,500.0,33.0,49.0,82.0,8.0,0.4024390243902439,165.0,410.0
17,louisiana,2016-08-29,2016-09-01,3,2016-08-30,35,0,Anzalone (D-Democrats For Education Reform),Live Phone,,605.0,40.0,46.0,86.0,8.0,0.46511627906976744,242.0,520.0
18,louisiana,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,871.0,38.0,53.0,91.0,0.0,0.4175824175824176,331.0,793.0
19,louisiana,2016-05-05,2016-05-06,1,2016-05-05,18,2,JMC Analytics (R),Automated Phone,,624.0,36.0,52.0,88.0,4.0,0.4090909090909091,225.0,549.0
0,south dakota,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,459.0,32.0,53.0,85.0,11.0,0.3764705882352941,147.0,390.0
1,south dakota,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,312.0,40.0,55.0,95.0,5.0,0.42105263157894735,125.0,296.0
2,south dakota,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,298.0,27.0,53.0,80.0,16.0,0.3375,80.0,238.0
3,south dakota,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,311.0,40.0,56.0,96.0,4.0,0.4166666666666667,124.0,299.0
4,south dakota,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,377.0,32.0,52.0,84.0,11.0,0.38095238095238093,121.0,317.0
5,south dakota,2016-10-18,2016-10-20,2,2016-10-19,42,1,Mason-Dixon,Live Phone,,400.0,37.0,44.0,81.0,7.0,0.4567901234567901,148.0,324.0
6,south dakota,2016-10-09,2016-10-16,7,2016-10-12,41,1,UPI/CVOTER,Internet,,311.0,42.0,54.0,96.0,4.0,0.4375,131.0,299.0
7,south dakota,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,463.0,40.0,56.0,96.0,4.0,0.4166666666666667,185.0,444.0
8,south dakota,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,809.0,37.0,51.0,88.0,0.0,0.42045454545454547,299.0,712.0
0,rhode island,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,415.0,48.0,36.0,84.0,12.0,0.5714285714285714,199.0,349.0
1,rhode island,2016-10-30,2016-11-06,7,2016-11-02,44,1,UPI/CVOTER,Internet,,310.0,59.0,37.0,96.0,5.0,0.6145833333333334,183.0,298.0
2,rhode island,2016-10-25,2016-10-31,6,2016-10-28,43,3,SurveyMonkey,Internet,,419.0,49.0,36.0,85.0,14.0,0.5764705882352941,205.0,356.0
3,rhode island,2016-10-23,2016-10-29,6,2016-10-26,43,1,UPI/CVOTER,Internet,,308.0,57.0,40.0,97.0,3.0,0.5876288659793815,176.0,299.0
4,rhode island,2016-10-18,2016-10-24,6,2016-10-21,42,3,SurveyMonkey,Internet,,488.0,49.0,37.0,86.0,12.0,0.5697674418604651,239.0,420.0
6,rhode island,2016-09-19,2016-10-02,13,2016-09-25,38,5,UPI/CVOTER,Internet,,457.0,57.0,40.0,97.0,3.0,0.5876288659793815,260.0,443.0
7,rhode island,2016-08-09,2016-09-01,23,2016-08-20,33,4,WashPost/SurveyMonkey,Internet,,625.0,50.0,40.0,90.0,0.0,0.5555555555555556,312.0,562.0
0,kentucky,2016-11-01,2016-11-07,6,2016-11-04,44,3,SurveyMonkey,Internet,,1315.0,35.0,54.0,89.0,10.0,0.39325842696629215,460.0,1170.0
